STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
11,Sikkim,2017-10-01T00:00:00Z,1925,1407,280,1687,0.876363636,,
30,Goa,2018-02-01T00:00:00Z,11924,8797,1652,10449,0.876299899,,
13,Nagaland,2021-11-01T00:00:00Z,5988,3758,1488,5246,0.876085504,,
34,Puducherry,2020-06-01T00:00:00Z,19399,8800,8194,16994,0.876024537,,
30,Goa,2021-09-01T00:00:00Z,36018,16168,15369,31537,0.875589983,,
30,Goa,2021-06-01T00:00:00Z,35597,12472,18691,31163,0.875438941,,
,Lakshadweep,2025-03-01T00:00:00Z,297,155,105,260,0.875420875,,
27,Maharashtra,2018-12-01T00:00:00Z,1349417,218297,962901,1181198,0.875339498,,
6,Haryana,2019-06-01T00:00:00Z,423764,203791,167127,370918,0.875293796,,
5,Uttarakhand,2017-12-01T00:00:00Z,99756,65197,22112,87309,0.87522555,,
16,Tripura,2021-08-01T00:00:00Z,18513,7245,8953,16198,0.874952736,,
30,Goa,2021-03-01T00:00:00Z,35459,14325,16699,31024,0.874925971,,
22,Chhattisgarh,2017-12-01T00:00:00Z,90937,57652,21906,79558,0.874869415,,
33,Tamil Nadu,2020-09-01T00:00:00Z,928683,592518,219772,812290,0.874668751,,
7,Delhi,2020-12-01T00:00:00Z,767321,559256,111889,671145,0.874660018,,
29,Karnataka,2018-02-01T00:00:00Z,339216,244436,52229,296665,0.874560752,,
4,Chandigarh,2019-10-01T00:00:00Z,10185,4702,4204,8906,0.874423171,,
27,Maharashtra,2018-09-01T00:00:00Z,1322160,570816,585190,1156006,0.874331397,,
29,Karnataka,2020-06-01T00:00:00Z,737436,299151,345550,644701,0.874246714,,
25,Daman and Diu,2019-11-01T00:00:00Z,3188,1636,1151,2787,0.874215809,,
5,Uttarakhand,2017-09-01T00:00:00Z,100078,66450,21037,87487,0.874188133,,
18,Assam,2021-03-01T00:00:00Z,155251,43223,92450,135673,0.873894532,,
36,Telangana,2022-06-01T00:00:00Z,415294,175268,362232,362919,0.873884525,,
37,Andhra Pradesh,2018-02-01T00:00:00Z,136843,102169,17387,119556,0.873672749,,
23,Madhya Pradesh,2020-01-01T00:00:00Z,121996,52770,53813,106583,0.873659792,,
11,Sikkim,2018-06-01T00:00:00Z,5002,2775,1595,4370,0.87365054,,
16,Tripura,2017-12-01T00:00:00Z,16864,11299,3429,14728,0.873339658,,
36,Telangana,2022-08-01T00:00:00Z,352323,143660,164005,307665,0.873246992,,
9,Uttar Pradesh,2019-09-01T00:00:00Z,1126122,285334,697655,982989,0.87289743,,
8,Rajasthan,2019-06-01T00:00:00Z,560439,263161,226021,489182,0.87285503,,
16,Tripura,2021-07-01T00:00:00Z,18343,6656,9353,16009,0.872758,,
20,Jharkhand,2020-09-01T00:00:00Z,153397,71992,61831,133823,0.872396461,,
6,Haryana,2019-03-01T00:00:00Z,421476,73250,294409,367659,0.872313014,,
24,Gujarat,2020-01-01T00:00:00Z,297941,180734,79114,259848,0.872145828,,
97,Other Territory,2023-03-01T00:00:00Z,86,68,7,75,0.872093023,,
3,Punjab,2021-01-01T00:00:00Z,144846,81466,44850,126316,0.872071027,,
38,Ladakh,2020-09-01T00:00:00Z,3518,1180,1887,3067,0.87180216,,
10,Bihar,2017-07-01T00:00:00Z,187455,128425,34988,163413,0.871745219,,
22,Chhattisgarh,2018-09-01T00:00:00Z,101382,35766,52609,88375,0.871703064,,
1,Jammu and Kashmir,2018-03-01T00:00:00Z,71741,44615,17913,62528,0.87157971,,
10,Bihar,2021-08-01T00:00:00Z,263449,67065,162520,229585,0.871458992,,
1,Jammu and Kashmir,2020-06-01T00:00:00Z,83835,19860,53185,73045,0.871294805,,
33,Tamil Nadu,2017-08-01T00:00:00Z,436886,345177,35417,380594,0.871151742,,
29,Karnataka,2019-11-01T00:00:00Z,443261,125863,260241,386104,0.871053397,,
27,Maharashtra,2018-06-01T00:00:00Z,1291465,799592,325268,1124860,0.870995342,,
5,Uttarakhand,2020-03-01T00:00:00Z,131773,76153,38610,114763,0.870914375,,
36,Telangana,2022-04-01T00:00:00Z,340147,144632,151541,296173,0.8707206,,
11,Sikkim,2021-06-01T00:00:00Z,8047,1687,5319,7006,0.870635019,,
36,Telangana,2022-07-01T00:00:00Z,349377,151539,152588,304127,0.870483747,,
10,Bihar,2021-12-01T00:00:00Z,437396,127083,253654,380737,0.870462921,,
36,Telangana,2022-05-01T00:00:00Z,343940,150850,148529,299379,0.870439612,,
22,Chhattisgarh,2017-07-01T00:00:00Z,83399,56262,16316,72578,0.870250243,,
10,Bihar,2021-06-01T00:00:00Z,387570,77565,259694,337259,0.870188611,,
7,Delhi,2018-06-01T00:00:00Z,653936,443138,125804,568942,0.870027036,,
,Bihar,2025-03-01T00:00:00Z,528004,184755,274602,459357,0.869987727,,
30,Goa,2023-01-01T00:00:00Z,25812,13968,8483,22451,0.869789245,,
16,Tripura,2021-04-01T00:00:00Z,18100,3314,12429,15743,0.869779006,,
6,Haryana,2018-12-01T00:00:00Z,416803,83038,279464,362502,0.869720228,,
20,Jharkhand,2021-01-01T00:00:00Z,96040,31772,51753,83525,0.869689713,,
11,Sikkim,2022-06-01T00:00:00Z,9262,3113,7959,8054,0.869574606,,
2,Himachal Pradesh,2019-09-01T00:00:00Z,89912,35435,42727,78162,0.869316665,,
19,West Bengal,2018-12-01T00:00:00Z,558638,89410,396218,485628,0.869307136,,
2,Himachal Pradesh,2019-03-01T00:00:00Z,86666,12158,63158,75316,0.869037454,,
11,Sikkim,2018-01-01T00:00:00Z,2072,1424,376,1800,0.868725869,,
34,Puducherry,2020-03-01T00:00:00Z,19681,12605,4490,17095,0.868604238,,
33,Tamil Nadu,2018-01-01T00:00:00Z,463481,350079,52430,402509,0.868447682,,
5,Uttarakhand,2020-09-01T00:00:00Z,138271,67081,52935,120016,0.867976655,,
9,Uttar Pradesh,2020-03-01T00:00:00Z,1155076,632633,369831,1002464,0.867877092,,
21,Odisha,2021-02-01T00:00:00Z,130520,36811,76452,113263,0.867782715,,
1,Jammu and Kashmir,2021-01-01T00:00:00Z,45594,12473,27081,39554,0.867526429,,
36,Telangana,2017-12-01T00:00:00Z,241225,168267,40991,209258,0.867480568,,
29,Karnataka,2020-03-01T00:00:00Z,734800,452875,184517,637392,0.867436037,,
10,Bihar,2022-06-01T00:00:00Z,470659,127287,406179,408158,0.867205344,,
22,Chhattisgarh,2018-06-01T00:00:00Z,98284,50398,34831,85229,0.867170648,,
7,Delhi,2018-09-01T00:00:00Z,674957,310702,274597,585299,0.867164871,,
27,Maharashtra,2019-03-01T00:00:00Z,1384075,195579,1004592,1200171,0.867128588,,
36,Telangana,2017-09-01T00:00:00Z,234895,168714,34952,203666,0.867051236,,
21,Odisha,2020-06-01T00:00:00Z,227236,65229,131773,197002,0.866948899,,
11,Sikkim,2021-09-01T00:00:00Z,8314,3348,3859,7207,0.866851095,,
30,Goa,2018-12-01T00:00:00Z,31956,6255,21440,27695,0.866660408,,
3,Punjab,2020-02-01T00:00:00Z,94540,71371,10540,81911,0.866416332,,
21,Odisha,2020-03-01T00:00:00Z,223069,119490,73779,193269,0.866409048,,
27,Maharashtra,2019-09-01T00:00:00Z,1416919,452291,775174,1227465,0.866291581,,
13,Nagaland,2021-09-01T00:00:00Z,7073,2127,3999,6126,0.866110561,,
19,West Bengal,2017-11-01T00:00:00Z,161708,123286,16763,140049,0.866061048,,
97,Other Territory,2021-06-01T00:00:00Z,82,61,10,71,0.865853659,,
7,Delhi,2018-01-01T00:00:00Z,173388,137768,12360,150128,0.865850001,,
16,Tripura,2018-03-01T00:00:00Z,17562,10884,4321,15205,0.865789773,,
33,Tamil Nadu,2020-11-01T00:00:00Z,728636,273421,357391,630812,0.865743664,,
18,Assam,2021-05-01T00:00:00Z,111842,7859,88957,96816,0.865649756,,
22,Chhattisgarh,2018-03-01T00:00:00Z,94349,54166,27468,81634,0.865234396,,
2,Himachal Pradesh,2021-01-01T00:00:00Z,40247,16126,18695,34821,0.865182498,,
9,Uttar Pradesh,2020-09-01T00:00:00Z,1210642,561852,485475,1047327,0.8651005,,
37,Andhra Pradesh,2020-02-01T00:00:00Z,188319,128641,34189,162830,0.864649876,,
2,Himachal Pradesh,2019-06-01T00:00:00Z,88064,43206,32927,76133,0.864518986,,
22,Chhattisgarh,2017-09-01T00:00:00Z,93983,60376,20812,81188,0.863858357,,
35,Andaman and Nicobar Islands,2020-03-01T00:00:00Z,3877,1547,1802,3349,0.863812226,,
9,Uttar Pradesh,2018-06-01T00:00:00Z,1006440,614622,254249,868871,0.863311275,,
33,Tamil Nadu,2018-02-01T00:00:00Z,472374,350056,57634,407690,0.86306613,,
36,Telangana,2022-03-01T00:00:00Z,410714,163799,190644,354443,0.862992253,,
5,Uttarakhand,2018-03-01T00:00:00Z,107596,64849,28003,92852,0.862968884,,
7,Delhi,2021-02-01T00:00:00Z,362361,182246,130460,312706,0.862968145,,
22,Chhattisgarh,2021-01-01T00:00:00Z,66185,19722,37358,57080,0.862431064,,
20,Jharkhand,2018-06-01T00:00:00Z,127212,72615,37076,109691,0.862269283,,
,Sikkim,2025-03-01T00:00:00Z,10109,4056,4653,8709,0.861509546,,
35,Andaman and Nicobar Islands,2021-01-01T00:00:00Z,3140,784,1921,2705,0.861464968,,
9,Uttar Pradesh,2018-09-01T00:00:00Z,1050898,468795,436358,905153,0.861313848,,
23,Madhya Pradesh,2017-11-01T00:00:00Z,97097,74302,9325,83627,0.861272748,,
9,Uttar Pradesh,2018-12-01T00:00:00Z,1080975,149746,781177,930923,0.861188279,,
11,Sikkim,2018-09-01T00:00:00Z,5567,2152,2641,4793,0.860966409,,
10,Bihar,2022-03-01T00:00:00Z,456786,120448,272773,393221,0.860842933,,
23,Madhya Pradesh,2017-10-01T00:00:00Z,95518,73937,8288,82225,0.860832513,,
19,West Bengal,2021-10-01T00:00:00Z,375124,170087,152821,322908,0.860803361,,
29,Karnataka,2019-06-01T00:00:00Z,710827,238182,373661,611843,0.860748115,,
36,Telangana,2021-06-01T00:00:00Z,378050,118172,207132,325304,0.860478773,,
,Other Territory,2023-06-01T00:00:00Z,86,67,7,74,0.860465116,,
5,Uttarakhand,2019-09-01T00:00:00Z,131532,36806,76344,113150,0.860246936,,
21,Odisha,2019-09-01T00:00:00Z,220841,50596,139379,189975,0.860234286,,
32,Kerala,2020-11-01T00:00:00Z,217966,98893,88522,187415,0.859835938,,
11,Sikkim,2022-10-01T00:00:00Z,6315,2218,3211,5429,0.859699129,,
19,West Bengal,2017-10-01T00:00:00Z,158774,121883,14597,136480,0.859586582,,
29,Karnataka,2020-09-01T00:00:00Z,768520,434938,225658,660596,0.859569042,,
19,West Bengal,2018-01-01T00:00:00Z,164959,121834,19944,141778,0.859474172,,
13,Nagaland,2021-10-01T00:00:00Z,5998,1830,3325,5155,0.859453151,,
18,Assam,2021-04-01T00:00:00Z,112837,11547,85425,96972,0.859398956,,
37,Andhra Pradesh,2020-12-01T00:00:00Z,297340,202786,52735,255521,0.859356292,,
36,Telangana,2017-10-01T00:00:00Z,144948,108893,15644,124537,0.859183983,,
7,Delhi,2018-02-01T00:00:00Z,176069,137512,13754,151266,0.859129091,,
21,Odisha,2017-09-01T00:00:00Z,162133,104518,34737,139255,0.858893624,,
37,Andhra Pradesh,2019-12-01T00:00:00Z,286760,151471,94807,246278,0.858829683,,
10,Bihar,2022-08-01T00:00:00Z,286093,78473,167184,245657,0.858661344,,
34,Puducherry,2020-09-01T00:00:00Z,20172,11826,5492,17318,0.858516756,,
38,Ladakh,2020-12-01T00:00:00Z,3842,1914,1384,3298,0.85840708,,
4,Chandigarh,2019-02-01T00:00:00Z,10294,5320,3516,8836,0.858364096,,
14,Manipur,2023-01-01T00:00:00Z,9805,2595,5820,8415,0.858235594,,
20,Jharkhand,2018-09-01T00:00:00Z,133208,53025,61296,114321,0.858214221,,
27,Maharashtra,2019-06-01T00:00:00Z,1405014,569967,635678,1205645,0.85810177,,
20,Jharkhand,2017-11-01T00:00:00Z,45978,34322,5107,39429,0.857562312,,
10,Bihar,2021-03-01T00:00:00Z,376756,101354,221709,323063,0.857486012,,
14,Manipur,2022-10-01T00:00:00Z,9569,2346,5859,8205,0.85745637,,
7,Delhi,2019-12-01T00:00:00Z,746559,460035,180042,640077,0.857369612,,
36,Telangana,2017-11-01T00:00:00Z,148881,110096,17538,127634,0.857288707,,
1,Jammu and Kashmir,2018-06-01T00:00:00Z,77492,43970,22461,66431,0.857262685,,
7,Delhi,2020-06-01T00:00:00Z,735720,304325,326301,630626,0.857154896,,
97,Other Territory,2018-03-01T00:00:00Z,49,41,1,42,0.857142857,,
4,Chandigarh,2020-11-01T00:00:00Z,11277,5870,3796,9666,0.857142857,,
11,Sikkim,2022-11-01T00:00:00Z,6446,2295,3228,5523,0.856810425,,
10,Bihar,2022-05-01T00:00:00Z,280982,80283,160333,240616,0.856339552,,
38,Ladakh,2021-04-01T00:00:00Z,2070,202,1570,1772,0.856038647,,
20,Jharkhand,2020-01-01T00:00:00Z,63116,22759,31264,54023,0.855931935,,
37,Andhra Pradesh,2020-06-01T00:00:00Z,281786,111413,129745,241158,0.855819665,,
3,Punjab,2020-01-01T00:00:00Z,95635,59206,22634,81840,0.855753647,,
9,Uttar Pradesh,2017-11-01T00:00:00Z,275780,207820,28117,235937,0.855526144,,
19,West Bengal,2018-02-01T00:00:00Z,167478,121103,22134,143237,0.855258601,,
36,Telangana,2021-12-01T00:00:00Z,406157,170103,177250,347353,0.855218548,,
10,Bihar,2021-11-01T00:00:00Z,262802,161774,62957,224731,0.855134284,,
9,Uttar Pradesh,2019-06-01T00:00:00Z,1118687,367818,588650,956468,0.854991611,,
10,Bihar,2022-02-01T00:00:00Z,272122,90050,142587,232637,0.854899641,,
25,Daman and Diu,2019-02-01T00:00:00Z,3160,1579,1122,2701,0.854746835,,
10,Bihar,2017-09-01T00:00:00Z,222312,140800,49100,189900,0.854204901,,
21,Odisha,2020-12-01T00:00:00Z,248265,137989,74043,212032,0.854055143,,
10,Bihar,2022-04-01T00:00:00Z,276452,73601,162408,236009,0.853706973,,
20,Jharkhand,2017-10-01T00:00:00Z,44777,33711,4514,38225,0.853674878,,
33,Tamil Nadu,2019-09-01T00:00:00Z,900385,227476,541144,768620,0.853657047,,
9,Uttar Pradesh,2019-03-01T00:00:00Z,1108438,136513,809702,946215,0.853647204,,
10,Bihar,2022-01-01T00:00:00Z,265429,81804,144776,226580,0.853636942,,
10,Bihar,2017-12-01T00:00:00Z,219776,133902,53705,187607,0.85362824,,
36,Telangana,2021-03-01T00:00:00Z,372165,127888,189773,317661,0.853548829,,
33,Tamil Nadu,2019-11-01T00:00:00Z,640748,174944,371929,546873,0.853491544,,
36,Telangana,2021-09-01T00:00:00Z,393681,161080,174912,335992,0.853462575,,
15,Mizoram,2023-01-01T00:00:00Z,6365,1410,4021,5431,0.853260016,,
19,West Bengal,2019-12-01T00:00:00Z,611342,312982,208528,521510,0.853057699,,
31,Lakshadweep,2021-06-01T00:00:00Z,238,62,141,203,0.852941176,,
19,West Bengal,2019-03-01T00:00:00Z,582519,80982,415831,496813,0.852870035,,
2,Himachal Pradesh,2017-11-01T00:00:00Z,21456,16321,1973,18294,0.852628635,,
32,Kerala,2019-11-01T00:00:00Z,180486,55426,98461,153887,0.852625688,,
37,Andhra Pradesh,2017-08-01T00:00:00Z,129603,100118,10363,110481,0.852457119,,
11,Sikkim,2018-02-01T00:00:00Z,2145,1423,405,1828,0.852214452,,
31,Lakshadweep,2021-04-01T00:00:00Z,196,25,142,167,0.852040816,,
7,Delhi,2018-12-01T00:00:00Z,700345,115231,481489,596720,0.85203721,,
25,Daman and Diu,2019-10-01T00:00:00Z,3229,1413,1338,2751,0.851966553,,
97,Other Territory,2021-03-01T00:00:00Z,81,63,6,69,0.851851852,,
1,Jammu and Kashmir,2018-09-01T00:00:00Z,81069,31358,37699,69057,0.851829923,,
10,Bihar,2021-10-01T00:00:00Z,259213,58106,162690,220796,0.851793699,,
10,Bihar,2022-07-01T00:00:00Z,282327,76638,163786,240424,0.851579906,,
34,Puducherry,2019-12-01T00:00:00Z,20391,10447,6917,17364,0.851552155,,
37,Andhra Pradesh,2018-12-01T00:00:00Z,268317,66023,162408,228431,0.851347473,,
29,Karnataka,2019-10-01T00:00:00Z,448411,99248,282461,381709,0.851248074,,
10,Bihar,2021-07-01T00:00:00Z,254467,58512,158065,216577,0.851100536,,
36,Telangana,2018-03-01T00:00:00Z,259182,165472,55099,220571,0.851027463,,
6,Haryana,2021-01-01T00:00:00Z,236575,106627,94683,201310,0.850935221,,
19,West Bengal,2020-12-01T00:00:00Z,625592,377312,155016,532328,0.85091881,,
32,Kerala,2019-02-01T00:00:00Z,172548,41236,105568,146804,0.850800937,,
34,Puducherry,2020-11-01T00:00:00Z,15413,5748,7363,13111,0.850645559,,
19,West Bengal,2021-08-01T00:00:00Z,378910,159245,163066,322311,0.850626798,,
37,Andhra Pradesh,2020-01-01T00:00:00Z,192119,79873,83531,163404,0.850535345,,
13,Nagaland,2021-08-01T00:00:00Z,5920,1517,3518,5035,0.850506757,,
10,Bihar,2020-06-01T00:00:00Z,326795,67713,210200,277913,0.850419988,,
19,West Bengal,2020-06-01T00:00:00Z,606073,198499,316859,515358,0.850323311,,
7,Delhi,2020-09-01T00:00:00Z,764172,431348,218424,649772,0.850295483,,
16,Tripura,2018-06-01T00:00:00Z,19474,11238,5319,16557,0.850210537,,
,Manipur,2024-08-01T00:00:00Z,10422,6077,2782,8859,0.850028785,,
10,Bihar,2023-01-01T00:00:00Z,310298,101099,162589,263688,0.849789557,,
19,West Bengal,2019-06-01T00:00:00Z,593424,200817,303462,504279,0.849778573,,
5,Uttarakhand,2019-06-01T00:00:00Z,129422,41948,68023,109971,0.849708705,,
36,Telangana,2022-02-01T00:00:00Z,343859,153561,138607,292168,0.849673849,,
5,Uttarakhand,2018-12-01T00:00:00Z,123658,17890,87167,105057,0.849577059,,
37,Andhra Pradesh,2018-09-01T00:00:00Z,256988,110066,108264,218330,0.849572743,,
33,Tamil Nadu,2019-03-01T00:00:00Z,867754,181112,555741,736853,0.849149644,,
21,Odisha,2017-12-01T00:00:00Z,168723,104201,39061,143262,0.849095855,,
32,Kerala,2019-01-01T00:00:00Z,172382,43209,103133,146342,0.848940145,,
20,Jharkhand,2018-12-01T00:00:00Z,139370,22352,95957,118309,0.848884265,,
22,Chhattisgarh,2020-02-01T00:00:00Z,45889,25407,13538,38945,0.848678332,,
30,Goa,2019-03-01T00:00:00Z,33254,6210,22011,28221,0.848649786,,
33,Tamil Nadu,2020-10-01T00:00:00Z,734303,247159,376000,623159,0.848640139,,
19,West Bengal,2019-09-01T00:00:00Z,607620,160374,355189,515563,0.84849577,,
37,Andhra Pradesh,2021-01-01T00:00:00Z,215263,82991,99655,182646,0.848478373,,
97,Other Territory,2023-02-01T00:00:00Z,79,61,6,67,0.848101266,,
11,Sikkim,2017-08-01T00:00:00Z,1843,1343,220,1563,0.848073793,,
37,Andhra Pradesh,2020-03-01T00:00:00Z,283250,174803,65399,240202,0.848021183,,
29,Karnataka,2019-03-01T00:00:00Z,706472,138732,460180,598912,0.847750512,,
22,Chhattisgarh,2020-01-01T00:00:00Z,46049,17226,21801,39027,0.847510261,,
32,Kerala,2020-10-01T00:00:00Z,217708,92423,91973,184396,0.846987708,,
13,Nagaland,2021-06-01T00:00:00Z,7004,1195,4737,5932,0.846944603,,
9,Uttar Pradesh,2021-01-01T00:00:00Z,676361,242574,330223,572797,0.846880586,,
29,Karnataka,2020-11-01T00:00:00Z,516478,159373,277690,437063,0.8462374,,
36,Telangana,2022-01-01T00:00:00Z,341214,148592,140002,288594,0.845785929,,
4,Chandigarh,2019-01-01T00:00:00Z,10436,5466,3360,8826,0.845726332,,
23,Madhya Pradesh,2017-08-01T00:00:00Z,94897,73169,7070,80239,0.845537794,,
,Manipur,2024-11-01T00:00:00Z,10330,2619,6112,8731,0.845208132,,
30,Goa,2022-08-01T00:00:00Z,25404,11275,10196,21471,0.845181861,,
36,Telangana,2021-04-01T00:00:00Z,313567,52071,212886,264957,0.844977309,,
19,West Bengal,2020-09-01T00:00:00Z,616763,283870,237173,521043,0.844802623,,
36,Telangana,2021-11-01T00:00:00Z,336893,219586,64925,284511,0.84451443,,
6,Haryana,2020-02-01T00:00:00Z,146565,102643,21081,123724,0.844157882,,
97,Other Territory,2021-05-01T00:00:00Z,77,41,24,65,0.844155844,,
97,Other Territory,2021-07-01T00:00:00Z,77,58,7,65,0.844155844,,
97,Other Territory,2021-08-01T00:00:00Z,77,58,7,65,0.844155844,,
36,Telangana,2018-01-01T00:00:00Z,154073,108737,21315,130052,0.844093384,,
5,Uttarakhand,2019-03-01T00:00:00Z,128280,15951,92318,108269,0.844005301,,
20,Jharkhand,2018-01-01T00:00:00Z,47997,33695,6812,40507,0.84394858,,
36,Telangana,2021-07-01T00:00:00Z,322476,115229,156835,272064,0.843672087,,
7,Delhi,2020-03-01T00:00:00Z,752110,456725,177640,634365,0.843447102,,
12,Arunachal Pradesh,2022-12-01T00:00:00Z,14790,3690,8780,12470,0.843137255,,
20,Jharkhand,2019-09-01T00:00:00Z,151326,30208,97359,127567,0.842994594,,
25,Daman and Diu,2019-08-01T00:00:00Z,3273,1498,1261,2759,0.842957531,,
1,Jammu and Kashmir,2020-09-01T00:00:00Z,88382,33086,41413,74499,0.842920504,,
10,Bihar,2020-03-01T00:00:00Z,320339,144552,125449,270001,0.84286022,,
26,Dadra and Nagar Haveli,2019-02-01T00:00:00Z,3897,1843,1441,3284,0.842699512,,
14,Manipur,2022-08-01T00:00:00Z,9166,2039,5685,7724,0.842679468,,
11,Sikkim,2021-04-01T00:00:00Z,5479,758,3859,4617,0.84267202,,
11,Sikkim,2022-08-01T00:00:00Z,6226,2111,3135,5246,0.842595567,,
19,West Bengal,2020-03-01T00:00:00Z,611625,335599,179611,515210,0.842362559,,
36,Telangana,2021-05-01T00:00:00Z,315037,35060,230300,265360,0.84231376,,
97,Other Territory,2021-04-01T00:00:00Z,76,34,30,64,0.842105263,,
11,Sikkim,2021-05-01T00:00:00Z,5462,561,4038,4599,0.841999268,,
34,Puducherry,2020-10-01T00:00:00Z,15422,5214,7767,12981,0.841719621,,
23,Madhya Pradesh,2018-01-01T00:00:00Z,99962,72633,11496,84129,0.841609812,,
37,Andhra Pradesh,2020-09-01T00:00:00Z,291802,160948,84611,245559,0.841526103,,
16,Tripura,2020-12-01T00:00:00Z,25839,14984,6749,21733,0.841092922,,
11,Sikkim,2018-12-01T00:00:00Z,6197,1085,4127,5212,0.841052122,,
16,Tripura,2018-09-01T00:00:00Z,21050,8846,8854,17700,0.840855107,,
36,Telangana,2017-08-01T00:00:00Z,142285,105888,13753,119641,0.840854623,,
36,Telangana,2021-08-01T00:00:00Z,327345,114257,160950,275207,0.840724618,,
3,Punjab,2017-08-01T00:00:00Z,86189,70068,2392,72460,0.840710532,,
33,Tamil Nadu,2019-06-01T00:00:00Z,894344,273096,478699,751795,0.840610548,,
11,Sikkim,2023-01-01T00:00:00Z,6642,2488,3095,5583,0.840560072,,
37,Andhra Pradesh,2019-11-01T00:00:00Z,193704,47355,115416,162771,0.840307892,,
16,Tripura,2020-06-01T00:00:00Z,24301,7312,13106,20418,0.840212337,,
37,Andhra Pradesh,2019-09-01T00:00:00Z,287263,65860,175494,241354,0.840184778,,
97,Other Territory,2021-02-01T00:00:00Z,75,54,9,63,0.84,,
30,Goa,2019-06-01T00:00:00Z,33757,13260,15090,28350,0.839825814,,
,Nagaland,2025-03-01T00:00:00Z,8436,2656,4427,7083,0.839615932,,
,Other Territory,2023-05-01T00:00:00Z,81,63,5,68,0.839506173,,
13,Nagaland,2021-04-01T00:00:00Z,5921,662,4308,4970,0.839385239,,
25,Daman and Diu,2019-01-01T00:00:00Z,3223,1592,1113,2705,0.839280174,,
,Other Territory,2023-09-01T00:00:00Z,87,66,7,73,0.83908046,,
19,West Bengal,2021-04-01T00:00:00Z,376743,65641,250428,316069,0.838951221,,
15,Mizoram,2022-12-01T00:00:00Z,7610,1483,4901,6384,0.838896189,,
11,Sikkim,2020-06-01T00:00:00Z,7574,2531,3822,6353,0.838790599,,
36,Telangana,2021-10-01T00:00:00Z,333199,133738,145669,279407,0.838558939,,
37,Andhra Pradesh,2019-06-01T00:00:00Z,281946,81878,154534,236412,0.83850099,,
13,Nagaland,2021-05-01T00:00:00Z,5940,520,4460,4980,0.838383838,,
9,Uttar Pradesh,2017-10-01T00:00:00Z,272330,205339,22959,228298,0.83831381,,
20,Jharkhand,2018-02-01T00:00:00Z,48997,33138,7935,41073,0.838275813,,
2,Himachal Pradesh,2017-10-01T00:00:00Z,21474,16263,1736,17999,0.838176399,,
19,West Bengal,2021-07-01T00:00:00Z,379798,147750,170580,318330,0.838156072,,
30,Goa,2019-12-01T00:00:00Z,35044,17483,11889,29372,0.83814633,,
19,West Bengal,2021-05-01T00:00:00Z,377506,37526,278828,316354,0.838010522,,
35,Andaman and Nicobar Islands,2019-06-01T00:00:00Z,3826,643,2563,3206,0.837950863,,
97,Other Territory,2021-01-01T00:00:00Z,74,45,17,62,0.837837838,,
24,Gujarat,2020-11-01T00:00:00Z,367134,165581,141988,307569,0.837756786,,
10,Bihar,2018-03-01T00:00:00Z,238741,130725,69272,199997,0.837715348,,
